SCHEMA: public | TABLE: catalogo
SCHEMA: public | TABLE: categoria_gasto
SCHEMA: public | TABLE: configuracion_global
SCHEMA: public | TABLE: contabilidad
SCHEMA: public | TABLE: cuenta_cobrar
SCHEMA: public | TABLE: detalle_liquidacion_compra
SCHEMA: public | TABLE: detalle_nota_credito
SCHEMA: public | TABLE: facturacion_basica
SCHEMA: public | TABLE: facturacion_programada
SCHEMA: public | TABLE: feature_flag
SCHEMA: public | TABLE: forma_pago
SCHEMA: public | TABLE: gasto
SCHEMA: public | TABLE: guia_remision
SCHEMA: public | TABLE: inventario
SCHEMA: public | TABLE: liquidacion_compra
SCHEMA: public | TABLE: modulo
SCHEMA: public | TABLE: modulo_empresa
SCHEMA: public | TABLE: modulo_plan
SCHEMA: public | TABLE: modulo_suscripcion
SCHEMA: public | TABLE: movimiento_inventario
SCHEMA: public | TABLE: nota_credito
SCHEMA: public | TABLE: pago_factura
SCHEMA: public | TABLE: pago_gasto
SCHEMA: public | TABLE: plantilla_notificacion
SCHEMA: public | TABLE: proveedor
SCHEMA: public | TABLE: reporte_avanzado
SCHEMA: public | TABLE: reporte_basico
SCHEMA: public | TABLE: reporte_generado
SCHEMA: public | TABLE: retencion
SCHEMA: public | TABLE: tipo_movimiento
SCHEMA: public | TABLE: unidad_medida
SCHEMA: sistema_facturacion | TABLE: autorizaciones_sri
SCHEMA: sistema_facturacion | TABLE: clientes
SCHEMA: sistema_facturacion | TABLE: comisiones
SCHEMA: sistema_facturacion | TABLE: comisiones_logs
SCHEMA: sistema_facturacion | TABLE: configuraciones_sri
SCHEMA: sistema_facturacion | TABLE: configuraciones_sri_audit_logs
SCHEMA: sistema_facturacion | TABLE: empresa_permisos
SCHEMA: sistema_facturacion | TABLE: empresa_roles
SCHEMA: sistema_facturacion | TABLE: empresa_roles_permisos
SCHEMA: sistema_facturacion | TABLE: empresas
SCHEMA: sistema_facturacion | TABLE: establecimientos
SCHEMA: sistema_facturacion | TABLE: facturacion_programada
SCHEMA: sistema_facturacion | TABLE: facturas
SCHEMA: sistema_facturacion | TABLE: facturas_detalle
SCHEMA: sistema_facturacion | TABLE: log_emision_facturas
SCHEMA: sistema_facturacion | TABLE: log_pago_facturas
SCHEMA: sistema_facturacion | TABLE: pagos_suscripciones
SCHEMA: sistema_facturacion | TABLE: planes
SCHEMA: sistema_facturacion | TABLE: productos
SCHEMA: sistema_facturacion | TABLE: puntos_emision
SCHEMA: sistema_facturacion | TABLE: superadmin
SCHEMA: sistema_facturacion | TABLE: suscripciones
SCHEMA: sistema_facturacion | TABLE: suscripciones_log
SCHEMA: sistema_facturacion | TABLE: user_sessions
SCHEMA: sistema_facturacion | TABLE: users
SCHEMA: sistema_facturacion | TABLE: users_logs
SCHEMA: sistema_facturacion | TABLE: usuario_creacion_logs
SCHEMA: sistema_facturacion | TABLE: usuarios
SCHEMA: sistema_facturacion | TABLE: vendedores
